　会社名　概要　雇用形態　初年度年収
0　フォーザウィン株式会社 | 経験ゼロでも志望動機がなくても、しっかり育てる会社です！　【エンジニア総合職】★学歴＆経験一切不問《総合職採用》　正社員　300万円～600万円
1　株式会社エスティーエー | ゲーム開発もシステム開発も手掛けるIT企業／平均年齢27歳　【ITエンジニア（開発・インフラ）】◆研修最大3ヵ月◆土日祝休　正社員　250万円～550万円
2　"株式会社スタッフサービス | エンジニアリング事業本部　リクルートグループ"　好きな街ではたらく！【メンテナンス・検査】※職種未経験OK　正社員　216万円～800万円
3　フォーザウィン株式会社 | 未経験からじっくり知識やスキルを身に付け成長★完全週休2日　【ゲーム・アプリ等のテスター】◆残業ほぼなし◆年間休日125日　正社員　300万円～700万円
4　株式会社オルトプラス | <東証一部上場の安定成長企業>★残業月20h以下★土日祝休み　ゲーム系総合職（エンジニア、デザイナー、プランナー等）　正社員　250万円～550万円
5　フォーザウィン株式会社 | 上流工程から携わる/残業ほぼなし/年休125日/面接1回即採用！　【Javaエンジニア】◆経験者 ◆前給以上を確約 ◆面接保証　正社員　450万円～1000万円
6　日立建機日本株式会社 | 【WEB面接実施中】★東証一部上場グループ★全国に246拠点　日立グループの安定感【ICT施工の技術サポート】★年休124日　正社員　350万円～500万円
7　テー・ピー・エスサービス株式会社 | 残業月約5時間/社員定着率93%/Web面接対応可　日本を代表する大手メーカーが活躍の場！【ITエンジニア】　正社員　240万円～400万円
8　株式会社KENテクノロジー | 《東証一部上場グループ》★定着率95％超/完全週休2日/残業月15h　【ITエンジニア】30年の歴史があるITスクール通い放題★未経験OK　正社員　301万円～616万円
9　Rセキュリティ株式会社 | 20年連続増収増益◆2020年2～5月は売上前年比”125％以上”　未経験者歓迎！【錠前技師】完全週休2日制★年収1500万円可能　正社員　300万円～500万円
10　大基興業有限会社 | 入社祝い金あり／完全週休2日・完全週休3日も選べます　月給33万円スタートもOK【メンテナンススタッフ】※ほぼ残業なし　正社員　300万円～500万円
11　フォーザウィン株式会社 | 上流工程から携わる/残業ほぼなし/年休125日/面接1回　【開発エンジニア】◆経験者 ◆前給以上を確約 ◆自社内開発あり　正社員　400万円～1000万円
12　まいばすけっと株式会社 | イオングループ／産育休取得率100％／時短勤務もOK／残業少なめ　[地域正社員]好きな街で働く！『まいばすけっと』の【店長候補】　正社員　300万円～400万円
13　株式会社NSM | エンジニアの成長を第一に考える会社です★SESではありません！　＼自社内・大手直取引案件多数／【開発エンジニア】★未経験歓迎　正社員　360万円～700万円
14　株式会社サニックス | ◆東証一部上場企業 ◆初任地は希望勤務地を確約／年間休日115日　【点検・保守スタッフ】◆定時退社も多数 ◆10代～30代が活躍中　正社員　280万円～650万円
15　株式会社ネクストアビリティ | 定着率98％以上を誇る企業★育成プロジェクトの【４期生】募集！　【Webエンジニア】★未経験者を積極採用！◎残業月5～10時間　正社員　350万円～800万円
16　株式会社VSN | ◆年休126日・有給取得80％以上◆今期も増収増益の安定企業！◆　【インフラエンジニア】上流工程で20代が活躍中！Modis VSN　正社員　400万円～500万円
17　株式会社コプロ・エンジニアード | 東証・名証一部上場のコプロ・ホールディングスグループ　未経験から始める【 進行管理スタッフ 】★転勤なし　正社員　330万円～850万円
18　ヤフー株式会社 | 日本最大級のユーザー数を誇る「Yahoo! JAPAN」　【ストアアドバイザー】リモートワーク★未経験者歓迎★研修充実　正社員　300万円～500万円
19　株式会社クラフト | 社員の約7割がリモートワーク|賞与年4カ月|産休育休実績あり　【ITエンジニア(PM・PL候補)】年休124日/残業月平均10h　契約社員　250万円～1000万円
20　株式会社テイクス | 社員が主役！風通しのいい環境！上場企業グループ会社　【マネジメント営業】安定した経営基盤で培った経験を活かせる！　正社員　350万円～400万円
21　UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK　【資材管理スタッフ】★高収入可能×社宅完備のエリア多数　正社員　300万円～1500万円
22　株式会社アウトソーシングテクノロジー | SS事業本部ｌWEB面接OK/年間休日123日/残業少なめ/研修環境あり　未経験OK！RPA・AI・インフラなど多彩な案件！【ITエンジニア】　正社員　390万円～500万円
23　NTCコンサルタンツ株式会社 | 【手厚い制度あり】年休120日以上(土日)・福利厚生充実・好待遇　★前給保証あり！【建設コンサルタント】※東北エリア限定採用　正社員　236万円～400万円
24　まいばすけっと株式会社 | 【イオングループ】年休115～125日／賞与年2回／福利厚生も充実　イチから学べる！『まいばすけっと』の【店舗マネージャー候補】　正社員　280万円～500万円
25　株式会社ハマエンジニアリング | 賞与年3回支給★20代で年収450万円超えの社員もいます！　三重県限定募集！【半導体メンテスタッフ】*若手採用／交代勤務　正社員　350万円～600万円
26　グルーコードシステムズ株式会社 | ★コロナでも積極採用 ★残業ほぼなし ★内定までWeb面接可　案件も働き方も自由に選べる【プログラマー】★年休130日　正社員　300万円～550万円
27　ALH株式会社 | 【 Web面接実施中 】毎年150%以上の成長を続けています！　経験やスキルを存分に発揮できる会社です！【 ITエンジニア 】　正社員　200万円～1500万円
28　テー・ピー・エスサービス株式会社 | ≪研修2か月≫ 社員定着率93%/Web面接対応可　研修2カ月★未経験から資格取得【ITエンジニア】※残業月約5h　正社員　300万円～650万円
29　株式会社アウトソーシングテクノロジー | 産育休100％／誰かを支える仕事／ずっと長く働けるPRODESK　☆WEB面接可!初心者から少しずつ成長!土日祝休【サポート事務】　正社員　300万円～500万円
30　株式会社東大阪配管 | オシャレなロッカー＆シャワー室完備(大阪府緊急雇用対策に賛同)　年休150日以上も可能！働き方が選べる【メンテナンススタッフ】　正社員　400万円～450万円
31　株式会社フルタイムシステム | ☆宅配ボックス35期連続業界シェアNo.1の超優良企業☆　フルタイムロッカーの【サービスエンジニア】★未経験歓迎　正社員　250万円～550万円
32　株式会社カーネルジャパン | ★土日祝休み★年休125日以上★残業月20h以下★20代活躍中　"【ITエンジニア】★知識ゼロから""時代の変化に強いスキル""をGET!"　正社員　250万円～550万円
33　"日研トータルソーシング株式会社 | 大阪府緊急雇用対策に賛同　 ◇安定成長企業◇未経験入社が9割！"　AI化で必要とされる【ロボットのメンテナンス・検査スタッフ】　正社員　350万円～850万円
34　株式会社テイクス | 【池袋事業所】21年連続増収増益！上場企業グループ会社　【ITエンジニア】スキルを活かそう※学歴不問※希望のみ転勤あり　正社員　300万円～650万円
35　UTエイム株式会社 | 【超スピード選考】最短当日面談＆当日採用(規定有)！　【サポートスタッフ(データ管理・部品手配等)】★完全週休2日制　正社員　250万円～550万円
36　株式会社アクセル | 日本全国に拠点展開★賞与年2回／年間休日121日／転勤なし　休みも収入も◎【 検査スタッフ 】入社1年：月収28.6万(未経験)　正社員　350万円～650万円
37　神奈川中央交通株式会社 | 100年企業で働く！東証一部上場の安定性＝将来ずっと安心！　あなたの技術で地域インフラを守る…【バス整備士】スキルUP可能　正社員　450万円～800万円
38　フォーザウィン株式会社 | 未経験からのチャレンジ大歓迎♪/完全週休2日制＆残業ほぼ無し　【コールセンタースタッフ】★オフィスワークデビューを応援！　正社員　300万円～450万円
39　フォーザウィン株式会社 | 上流工程から携わる/残業ほぼなし/年休125日/面接1回　【クラウドエンジニア】◆経験者 ◆前給以上を確約 ◆面接保証　正社員　400万円～1000万円
40　"株式会社スタッフサービス | エンジニアリング事業本部　リクルートグループ"　大手・優良メーカーで働く！【実験評価】※職種未経験OK　正社員　300万円～700万円
41　アベールソリューションズ株式会社 | ◆WEB選考のみ◆内定まで全工程「非対面」で完結できます！　上流工程に挑戦したい方歓迎！【PMO／SE】★月給31.25～56万円　正社員　500万円～896万円
42　パーソル パナソニック HRパートナーズ株式会社 | 【エクセルテクノロジーカンパニー】※WEB面接OK　多様なキャリアパス有【ソフトウェア開発】※最先端技術に携わる　正社員　300万円～600万円
43　シエルプレザン合同会社 | ★安定基盤★官公庁,大手メーカーの案件多数★残業月平均10H程度　【ITエンジニア】★土日祝休み/年休123日以上/フォロー体制◎　正社員　250万円～800万円
44　株式会社バディットコンサルティング | 未経験者は1ヶ月の研修からスタート／経験者は前職給与保証あり　未経験歓迎/残業少なめ/年休120日以上/転勤なし【ITエンジニア】　正社員　250万円～550万円
45　パーソル パナソニック HRパートナーズ株式会社 | 【エクセルテクノロジーカンパニー】※WEB面接OK　広がる将来のキャリア！未来の暮らしを創る【ハードウェア開発】　正社員　450万円～550万円
46　フォーザウィン株式会社 | ★完休2日★有休取得100％★福利厚生提携先16,000件超　【システム動作確認スタッフ】◆誰でもイチから始められる仕事　正社員　300万円～500万円
47　株式会社東大阪配管 | 育児中の方を応援！働き方が選べます(時短勤務OK)産育休制度あり　【配送スタッフ】16時半退社(実働6時間)/週休3日(年休150日)も可　正社員　280万円～400万円
48　Rセキュリティ株式会社 | 20年連続増収増益◆2020年2~5月は売上前年比125％◆完全週休二日　"""水""というライフラインを支える【水道技師】★平均月収45万円超"　正社員　340万円～600万円
49　UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★安定基盤　シンプルワーク中心【軽作業スタッフ(梱包・検品等)】未経験OK！　正社員　300万円～600万円
